Date,Predicted_Demand
2025-01-02,263.38
2025-01-03,263.4
2025-01-04,263.74
2025-01-05,263.29
2025-01-06,263.34
2025-01-07,262.1
2025-01-08,261.83
2025-01-09,261.93
2025-01-10,262.14
2025-01-11,263.02
2025-01-12,263.25
2025-01-13,263.43
2025-01-14,262.2
2025-01-15,261.98
2025-01-16,262.12
2025-01-17,262.26
2025-01-18,263.14
2025-01-19,263.38
2025-01-20,263.56
2025-01-21,262.37
2025-01-22,262.15
2025-01-23,262.38
2025-01-24,262.81
2025-01-25,263.71
2025-01-26,264.17
2025-01-27,264.2
2025-01-28,263.44
2025-01-29,265.67
2025-01-30,265.73
2025-01-31,265.66
